timestamp,content,source,sentiment
"Jun 5, 2021 @ 13:16:52.871","با توکل و ایمان راسخ",twitter,pos
"Jun 5, 2021 @ 13:16:34.913","امام لزوم حاکمیت اسلام و اعتقاد به مردم را از دل اسلام ناب به دست آورده بود و به آنها عمیقاً ایمان داشت.
#ولی_صادق",twitter,pos
"Jun 5, 2021 @ 13:16:20.906","تف تو این وضعیت که همه از دیشب دارن برنامه میکنن ولی من تو خونه باید بشینم درس بخونم.",twitter,neg
"Jun 5, 2021 @ 13:15:10.462","اوکي من نميفهمم اين توهم که بري به يکي همينجوري گير بدي که تو داذي جاج ميکني و شايعه ميکني و حقوق اوليه اون فرد که ميشه نظر دادن رو ناديده بگيري چرا انقدر زياد شده.کلا در معناي کلمات مشکل داري نيازي نيست شما به من حقوق اوليه انسان ها و تجاوز به حريم شخصي انسان هارو ياداور بشي",twitter,neg
"Jun 5, 2021 @ 13:14:22.538","دیگع به تخممه هرکی میخواد بیاد هرکیم نخواست نیاد",twitter,neu
"Jun 5, 2021 @ 13:14:22.225","البته منظورم اینه که کلا خودتو عوض نکن کاری با ایشون ندارم یوقت بی‌احترامی نشه😐😂",twitter,neu
"Jun 5, 2021 @ 13:12:20.573","یه جوری خستم امروز که میخوام همین کف جا بندازم بخوابم",twitter,neg
"Jun 5, 2021 @ 13:12:05.278","نه به طرفداری از محسن رضایی
نه به هشتگ نه به جمهوری اسلامی که زدی
کدومو باور کنیم؟!😐",twitter,neg
"Jun 5, 2021 @ 13:11:54.870","▪️ست روتختی و رو بالش برای تخت یک نفره، شامل:
1️⃣ یک عدد ملحفه خوشخواب کشدوزی شده به ابعاد:
طول 2m عرض 90cm ارتفاع 25cm
2️⃣ یک عدد رو بالش به ابعاد:
70×50 cm
ارسال به تمام نقاط ایران با پست 📬 (رایگان)",twitter,neu
"Jun 5, 2021 @ 13:09:47.477","بخشی از یک جلسه بود که از رئیسی به خاطر استفاده از زنان در دستگاه قضا تشکر کرد",twitter,pos
"Jun 5, 2021 @ 13:09:38.824","مقام معظم رهبری:
کسی‌را‌ انتخاب کنید کهْ
کشور را به دشمن نفروشد
#ما_منتظر_انتخاباتیم #رای_میدهم",twitter,neu
"Jun 5, 2021 @ 13:09:37.371","با هر ورق کتاب دا اشک ریختم 💔",twitter,neg
"Jun 5, 2021 @ 13:08:26.791","اگر تجدید شدن و تلاشی نکردن چی؟ اگر طرف ترک تحصیل کرد چی؟ چرا باید این حس شکست خوردن رو از بچگی توی وجود بچه نهادینه کنی درحالیکه میتونی نادیده‌ش بگیری و تشویقش کنی. من دو سه نفر سال اخری دیدم، همگی افسردگی شدید گرفتن.",twitter,neg
"Jun 5, 2021 @ 13:07:49.633","از طبیعت لذت ببرید🥺",twitter,pos
"Jun 5, 2021 @ 13:07:31.527","شاید بعضی ها برای زندگیشون آرزوهای دور و درازی دارن. ولی من فقط میخوام برم یه جایی که طبیعت داشته باشه و آرامش.
حتی انگیزه های جوانتریمم در حوزه رفع محرومیت و... زیاد ندارم.",twitter,neu
"Jun 5, 2021 @ 13:07:01.703","سلام کاملا صحیح است هر رای که به صندوق انداخته میشود رای به اصل نظام است",twitter,pos
"Jun 5, 2021 @ 13:05:57.008","شرکت کردن در انتخابات به منزله ادامه دادن راه شهدا است.
#رای_میدهم",twitter,pos
"Jun 5, 2021 @ 13:05:33.177","فکر می‌کردم فقد در مورد پویا و پوریا این مشکل هست",twitter,neu
"Jun 5, 2021 @ 13:05:25.450","مگه ناف کر کثیف هم داریم ؟ فتیش ناف داری ؟",twitter,neu
"Jun 5, 2021 @ 13:05:06.312","۳-بازیگران قدرت را خواهد ریخت . شاید مثل خامنه ای در طول سال‌ها و کم کم حذف کند تا استخر فرح یا به سرعت ولی فعلا رسیدن اصل است .
حال اصل ۱۱۱ چیست و نگاهی به چیدمان بر اساس آن بیاندازیم 
اصل ۱۱۱: هر گاه رهبر از وظایف خود ناتوان شود یا فاقد شرایط رهبری شود و یا فوت",twitter,neu
"Jun 5, 2021 @ 13:04:35.722","من در 49 سال زندگی ندیدم امروزم از دیروز بهتر شده باشد.
چرابا این همه ذخائر زیر زمینی و رو زمینی از جمعیت ایران همان حدود 10%که همیشه در رأس‌ن همه امکانات دارند.
آیا ما جزء ایران نیستیم که باید وقتمان تو صف مرغ و روغن و.... صرف کنیم.
#نه‌به‌رای‌دادن",twitter,neg
"Jun 5, 2021 @ 13:03:24.371","زیاد از موسیقی سر درنمیارم ولی این روزا خیلی دلم می‌خواد یه ساز یاد بگیرم و حال این روزامو باهاش به قول قدیمیا گفتنی بنوازم...",twitter,pos
"Jun 5, 2021 @ 12:59:30.012","میدونم که وقتی از یه چیزی فاصله بگیرم بعدش اون چیز از نظرم کسشر میشه. این خوبه. این خیلی خوبه.",twitter,pos
"Jun 5, 2021 @ 12:55:20.088","خدایی که اینا را یاری کنه قطعا خدا نیست شیطانه",twitter,neg
"Jun 5, 2021 @ 12:54:49.427","مادرم وقتی داریم تو واتساپ حرف می‌زنیم و صدای محیط رو می‌شنوه:

عه؟ خارج هم گنجشک داره؟",twitter,neu
"Jun 5, 2021 @ 12:53:33.628","من بعد از هربار دیدن مهدی زمین پرداز :
""عه حسن باقری""
#زخم_کاری",twitter,neu
"Jun 5, 2021 @ 12:52:09.755","من هروقت با دوست دخترم میرم کافه باید دنگ داییم رو هم بدم.",twitter,neu
"Jun 5, 2021 @ 12:50:01.708","اگر تمام خلق انگشت به استهزاء نیزه کنند؛ مرا قاعده همین است . عشق مردانه باید: رگ بدرد؛ دمار برآورد؛ خون بجوشاند و استخوان بترکاند و گرنه لاف قحبگان فراوان است",twitter,neg
"Jun 5, 2021 @ 12:44:51.118","اینی ک من منشن کردم فان بود کلا
ولی فارغ ا این توئیت و بحثای دیگ ایرانو دوس دارم ولی با یه سری چیزای دیگش مشکل دارم",twitter,neg
"Jun 5, 2021 @ 12:44:35.805","میشه برام یه خونه تو چال لپ هری بگیرین؟",twitter,neu
"Jun 5, 2021 @ 12:43:31.741","کراش دوران نوجوونیم بود این :)))) الانم مجرده",twitter,neu
